аба: аб
абавязак: абавязак
абавязков: абавязкова
абла: абла
або: або
абрабавал: абрабавал
ага: аг
агнястрэльнать: агнястрэльнай
агульнать: агульнай
ад: ад
адбылася: адбылася
адбылось: адбылося
адз: адз
адзначалася: адзначалася
адзначаюць: адзначаюць
адказнасца: адказнасц
адм: адм
административный: административным
аднак: аднак
аднос: аднос
адный: адным
адпаведный: адпаведны
адсутнасць: адсутнасць
адукацый: адукацыю
аказать: аказал
акно: акно
акрамить: акрамя
акруг: акруг, акруга
акруговой: акруговая
акт: акты
актынуть: актыв
акуга: акуге
але: але
алкагольный: алкагольных
алкаголя: алкаголю
альбо: альбо
алькен: алькен
аляксеять: аляксея
аннотация: аннотация
антыдзяржа: антыдзяржа
апаратый: апарат, апарата
аперата: аператы
аплачвалася: аплачвалася
апошняй: апошняе
апрацаваный: апрацаваных
аптэца: аптэцы
арган: арган
артыкула: артыкула
артыкулама: артыкулам
арх: арх
асаб: асаб
асабла: асабл
асабовага: асабовага
асадна: асадн
асный: асно
асоб: асобы
асобный: асобна, асобны, асобных
асп: асп
атрым: атрыма
атрымл: атрымл
аф: аф
аховый: ахова, аховы
баку: баку
бакшт: бакшты
банда: банда
бандытызм: бандытызм
баранав: баранав
барацьба: барацьба, барацьбу, барацьбы
бгу: бгу
беднасць: беднасць
без: без
беззаганнай: беззаганнае
белавежскать: белавежскай
беларус: беларус
беларускать: беларускай
беларусь: беларуси, беларусь
беластоцк: беластоцк
беластоцкаг: беластоцкага
беластоцкать: беластоцкай
белоруссия: белоруссии, белоруссия
бельск: бельск
беспрацо: беспрацо
блахерович: блахеровича
бо: бо
бок: бок
болезнь: болезнями
больша: больш
борьба: борьба, борьбе
брасл: брасла
брат: брата
брг: бргу
брест: брест
брэскай: брэскай
бсг: бсг
бсср: бсср
будынка: будынка
будынок: будынкам
буйный: буйная
быть: был, была, было
бюджет: бюджет
бяспечь: бяспек, бяспеку
ва: ва
важный: важныя
вайсков: вайсковых
вайсковать: вайсковай
вал: вал
валасо: валасо
валася: валася
ванна: ванне
вар: вары
варэнний: варэння
ваходз: ваходз
вацца: вацца
ваць: ваць
ваявод: ваяводы
ваяводск: ваяводск
ваяводскать: ваяводскай
ваяводство: ваяводства, ваяводстве
ве: ве
везти: вёз
веласа: велас
вельма: вельм
верс: верс
внимание: внимание
вобласца: вобласц
войско: войска, войску
воложинский: воложинском
вольный: вольны
воп: воп
вопрос: вопросам, вопросы
воспоминание: воспоминаниях
воссоединение: воссоединение
ву: ву
вузкакалейнать: вузкакалейнай
вул: вул
входить: входили
выб: выб
вываза: вываз
вывешать: вывешана, вывешаны
вывешвал: вывешвал
выглядзе: выглядзе
выдавать: выдавал
выдача: выдача
выкарыстанний: выкарыстання
выкарыстый: выкарысто
выкать: выкана
выключный: выключна
выкрывалася: выкрывалася
выкрыть: выкрыла
выкрыццуть: выкрыццём
вын: вын
выпадак: выпадак
выпадк: выпадк
выправо: выправ
выраб: вырабу
вырашалый: вырашала
вырашан: вырашана
вырубка: вырубка, вырубку
высокать: высокай
выязд: выязд
вялый: вял, вяла
вярстах: вярстах
вяткаванний: вяткавання
га: га
гад: гады
гадз: гадз
гадый: гадо
газета: газета
газец: газеце
гайн: гайна
гало: гало
гандлевать: гандлевай
гандлевый: гандлевым
ганна: ганна
гарад: гарадах
гарадзенск: гарадзенск
гарадзенскать: гарадзенскай
гарадзец: гарадзец
гарачый: гарачым, гарачых
гарбарскай: гарбарскае
гарбат: гарбаты
гародна: гародн
гаспадынять: гаспадыняй
генеральный: генеральны
герб: герб
гм: гм
гмина: гмин, гмины
год: гг, год
годдзь: годдзя
годзе: годзе
голаса: голас
горада: горад
гос: гос
государство: государства
грамадзян: грамадзян, грамадзяне
грамадск: грамадска
грамадскать: грамадскай
грамадство: грамадстве
грашов: грашовых
грашым: грашыма
грашыть: грашыл
гродзенск: гродзенск
гродзенскаг: гродзенскага
гродзенскать: гродзенскай
гродзенский: гродзенская
гродненский: гродненского
гродно: гродна
грош: грошы
грубый: груб
грунто: грунто
груповак: груповак
грэбавал: грэбавал
гуляць: гуляць
гумов: гумовым
гуравал: гуравал
гуртк: гуртк
гэтым: гэтым
гюльня: гюльню
да: да
дабрабыт: дабрабыту
даверанай: даверанай
давол: давол
дадаткова: дадаткова
дазвалялася: дазвалялася
дазвол: дазвол, дазвола
дайидти: дайшла
далось: далося
данясенна: данясенн
дапамогать: дапамогай
дарэч: дарэчы
дасканальвалася: дасканальвалася
даследавать: даследавал
датычылася: датычылася
дать: дала
дацэнт: дацэнт
два: два
двал: двал
движение: движение
дзва: дзве
дзейн: дзейн
дзейнагой: дзейнага
дзейнасца: дзейнасц
дзейнасцть: дзейнасцю
дзейнасць: дзейнасць
дзел: дзел
дзель: дзель, дзеля
дзень: дзень
дзеянна: дзеянн
дзя: дзя
дзяржа: дзяржа
дзяржава: дзяржаве
дзярэчын: дзярэчыне
дзять: дзял
добро: добра
документ: документы
дом: дома
донесение: донесение
др: др
дробный: дробных
дровать: друя
дру: дру
друг: друг
дружын: дружыны
друка: друкам
дрэннай: дрэннае
дрэннать: дрэннай
дыверс: дыверс
дыяметр: дыяметрам
дэманстрант: дэманстранта
дэманстрацый: дэманстрацый, дэманстрацыя
ектам: ектам
ены: ены
ер: ер
ерарх: ерарх
жа: жа
жанчын: жанчынам
жваеннать: жваеннай
жигало: жигало
жн: жн
жыхара: жыхара, жыхары
жыхаро: жыхаро
жыццть: жыццю
заба: заба
забаран: забаран
забаранялася: забаранялася
забарон: забарона
забеспячэнний: забеспячэння
забойства: забойствы
завалася: завалася
заваный: заваная
заведзен: заведзена
завод: завода
загад: загада
задача: задач
займалася: займалася
займаленький: займал
заказчык: заказчыка
заканада: заканада
закл: закл
закон: закона
закончылася: закончылася
залезл: залезл
занальна: занальны
западный: западная, западной
заработный: заработная
зарвать: зарвал
затрымаленький: затрымала
затрымана: затрыманы
затрымаць: затрымаць
захо: захо
заходнять: заходняй
заца: зацы
зацыя: зацыя
зборн: зборн
збраенна: збраенне
зброять: зброяй
зброёный: зброеная
зводк: зводк
зводка: зводках
звычайнать: звычайнай
звярнулася: звярнулася
здарый: здаро
здзяйснять: здзяйснял
здравствовать: здравствует
земля: землях
зк: зк
зл: зл
злава: злав
злачынасцть: злачынасцю
злачынец: злачынца
злачынства: злачынствы
злачынство: злачынства
зло: зла
злодзея: злодзея
злодзь: злодзем
злотый: злотых
злучалый: злучала
зм: зм
знайидти: знайшла
знайсца: знайсц
знак: знак, знака
знаходз: знаходз
знаёмство: знаёмства
зно: зно
знойдзен: знойдзена
зняволенний: зняволення
зровеня: зровень
зросец: зросце
зубый: зубо
зэльва: зэльве
зямл: зямл
идти: шла
изд: изд
йный: йным
ка: ка
кава: кавы
кага: кага
каз: каз
кайданка: кайданкам
кал: кал
калить: каля
калон: калона
кам: кам
камендант: каменданта, каменданту
камендатура: камендатур, камендатурам, камендатуры
камун: камун
кандыдата: кандыдат
кансперат: кансператы
кантакт: кантакты
кантроль: кантролем, кантроль
канфа: канф
канфес: канфес
канцэнтрацый: канцэнтрацыя
кап: кап
каров: каровы
каротк: каротк
карта: карты
карчм: карчмы
карчма: карчме
карыстацца: карыстацца
кастрычн: кастрычн
касяный: касяно
кафедра: кафедры
кг: кг
класа: клас, класа
ключевой: ключевые
кмендант: кмендант
кодэкс: кодэкс
кожный: кожны, кожным
кола: кола
коласа: колас
колькасный: колькасным
колькасца: колькасц
корпус: корпус
который: которые
кошт: коштам
кпзб: кпзб
кра: кра
крадзяжо: крадзяжо
крадзёж: крадзежа, крадзежах
крам: крама
красть: крал
крестьянский: крестьянское
кризис: кризиса
крокас: крокаса
крым: крым
крын: крын
крэв: крэва
купала: купалы
купцо: купцо
кура: кур
кушнер: кушнер
ла: ла
лад: лады
ладальна: ладальн
лактык: лактыка
ласнасца: ласнасц
лася: лася
ленскага: ленскага
ленскай: ленскай
лес: леса
леса: лесам
лозунг: лозунгам
лцд: лцда
льнуть: льня
льный: льным
льня: льню
людзьма: людзьм
лютаг: лютага
лякарство: лякарства
ляла: лял
лялася: лялася
ляльный: ляльных
лясный: лясным
лят: ляты
лёгк: лёгк
лён: льна
май: мая
маладай: маладая
маладзечный: маладзечна
малодшый: малодшым
маральна: маральны
марк: марк
мас: мас
маста: маста, масты
мастах: мастах
материал: материалы
матэрыяльнагой: матэрыяльнага
маёнтка: маёнтка
маёр: маёр
ме: ме
медаля: медаля
межвоенный: межвоенный
мел: мела
меньша: меньш
мерапрыемство: мерапрыемствах
месец: месца
местачко: местачко
местачков: местачковым, местачковых
местачковый: местачковая
местечко: местечки
месяц: месяц, месяца
мець: мець
минск: минск
мкнуть: мкнул
мкнучыся: мкнучыся
мн: мн
мноство: мноствам
мов: мове, мовы
монолитный: монолитный
мост: мост
моцнагой: моцнага
моцнать: моцнай
мочь: мог
мур: мурах
мус: мус
мэтая: мэтай
мя: мя
мяж: мяжы
мязать: мяжу
мян: мяна
мястэчак: мястэчак
мястэчка: мястэчка, мястэчках, мястэчку
мясцовага: мясцовага
мясцовать: мясцовай
мясцовый: мясцовую
мясцовыя: мясцовыя
наарыклад: наарыклад
навагрудскаг: навагрудскага
навагрудскать: навагрудскай
наванай: наванай
нават: нават
наведванна: наведванне
наведваць: наведваць
навук: навук, навука
навуков: навуковых
нагеннай: нагеннае
нагляд: нагляд
нагога: нагоге
нагой: нага
надзор: надзора
надка: надкам
надмернай: надмернае
надо: надо
надп: надп
нае: нае
нажалить: нажаль
най: най
найбольша: найбольш
нак: нак
нал: нал
нальнать: нальнай
нанний: нання
напад: напад
напада: напада
напасть: напала
напеть: напою
напой: напоя
напружанасць: напружанасць
напрыклад: напрыклад
населеный: населеныя
насельна: насельн
настрой: настрой
наступный: наступных
насцть: насцю
национальный: национальное
нацыянальный: нацыянальным
нашэнний: нашэння
ная: ная
ндура: ндура
невядома: невядомы
невядомый: невядомыя
некоторый: некоторые
немой: нема
несанкцыян: несанкцыян
неспадзяван: неспадзявана
нетакто: нетакто
нжынер: нжынер
нна: нна
нный: нныя
новый: новая
ноч: ноч, ночы
ноччить: ноччу
нск: нск
нспектара: нспектар
ну: ну
нулай: нулае
нутраный: нутраных
нутый: нутыя
ную: ную
нфармавал: нфармавал
нфармацый: нфармацыя
ншый: ншых
ны: ны
ным: ным
ных: ных
ныя: ныя
ня: ня
нягледзяч: нягледзячы
нядбальство: нядбальства
нядрэнна: нядрэнна
нязменный: нязменным
нёск: нёск
о: об
общественно: общественно
она: ней
орган: органа, органам
организационно: организационно
освободительный: освободительное
освобождение: освобождение
особый: особое
па: па
паведамля: паведамля
павет: павета, паветах
павец: павеце
паводз: паводз
паводла: паводле
павялый: павял
павятовага: павятовага
павятовам: павятоваму
павятовый: павятовая, павятовым, павятовых
павятовыя: павятовыя
павяторый: павяторыя
паграж: пагража
пагражало: пагражала
пад: пад
падазронагой: падазронага
падворк: падворку
падка: падкам
падначалёный: падначаленым
падпалко: падпалко
падпарадко: падпарадко
падпаручн: падпаручн
падрабленна: падрабленне
падробок: падробкам
падрыхтый: падрыхто
падтрыманн: падтрыманне
падтрымл: падтрымл
падчас: падчас
пажарный: пажарныя
пазногцть: пазногця
пазык: пазык
пак: пак
паказчык: паказчыка
палескаг: палескага
палескай: палескай
палко: палко
палов: палову
пан: пан
пара: пара
паравоз: паравоза
парадку: парадку
партрэта: партрэт
партызан: партызанам
партызать: партызаны
партый: партый
паручн: паручн
пасведчанна: пасведчанне
пасляваенный: пасляваенныя
паста: паста
пастарунк: пастарунк
пастарунка: пастарунка, пастарунку
пастарункава: пастарункавы
пастарункавыя: пастарункавыя
пастерунок: пастерунка
пасть: пав, пал
пастэрунк: пастэрунк
пастэрунка: пастэрунка, пастэрунку
пасёлка: пасёлка
патрабава: патрабава
патрабаванна: патрабаванн
паходжанний: паходжання
пачалася: пачалася
пачастунка: пачастункам
пачатковать: пачатковай
пашпарто: пашпарто
пед: пед
пенить: пеня
пераважный: пераважна
перадать: перадав, перадал
пераклад: пераклад
пераслед: пераслед
переписка: переписка
переть: першую
период: период
першый: першыя
песна: песн
плата: плата
пляцо: пляцо
повет: повете
поветовый: поветов
политический: политическом
полицейский: полицейские, полицейских, полицейского
полиция: полиции, полиция
полуять: полуян
польза: пользу
польск: польск, польску
польскаг: польскага
польскай: польскай
польский: польская, польского
польшч: польшчы
потым: потым
пошт: пошты
пра: пра, пры
праблемама: праблемам
правапарадка: правапарадку
правапарушэнний: правапарушэння
правасл: правасла
право: прав
праводз: праводз
прадпрыемство: прадпрыемства, прадпрыемствах
прадугледжва: прадугледжва
прадукт: прадукта, прадукты
праз: праз
пракурорскай: пракурорскай
праф: праф
прафес: прафес
праходз: праходз
праца: праца, працу, працы
працть: працв
працэссе: працэссе
прая: прая
продажа: продаж, продажу
простой: проста
прыватнать: прыватнай
прыводз: прыводз
прынять: прынял
прыняцец: прыняццем
прыпынить: прыпынена
прыходз: прыходз
прыцягнутый: прыцягнуты
прычынай: прычынай
прэс: прэса
публа: публ
пункт: пункты
пушч: пушчы
пяц: пяц
пяць: пяць
ра: ра
раб: раба
рабочий: рабочая, рабочих
рава: рава
раванний: равання
равануй: раваную
раз: раз, разам
развый: разв
разгала: разгал
разо: разо
рант: рант
рапарта: рапарт, рапарта
раск: раск
расп: распа
распараджэнний: распараджэння
рассмотреть: рассмотрены
растралян: растраляны
рашэнний: рашэння
революционный: революционное
рмахать: рмашу
ро: ро
ровар: ровара
рознать: рознай
рункаха: рунках
рускай: рускай
рух: руху
рухалася: рухалася
рытас: рытас
рэать: рэал
рэв: рэв
рэвальвер: рэвальверам
рэвалюцыйный: рэвалюцыйныя
рэгламентавать: рэгламентавал
рэгулявалася: рэгулявалася
рэдкай: рэдкае
рэйк: рэйке
рэйск: рэйск
рэйскай: рэйскае, рэйскай
рэйсковать: рэйскую
рэкамендав: рэкамендава
рэпутацыять: рэпутацыяй
рэспубла: рэспубл
рэстаран: рэстараны
рэч: рэчы
са: са
сало: сала
самагонаварэнний: самагонаварэннем, самагонаварэння
самагонк: самагонк
самагонка: самагонку
самагонный: самагонны
самадзельный: самадзельны
самак: самак
сара: сар
сарыят: сарыяты
сацыялог: сацыялог
сацыяльный: сацыяльную
сачыть: сачыла
саюз: саюза
св: св
сва: сва
свая: свая, сваёй
сваяк: сваяком
сведчаць: сведчаць
сведчыть: сведчыла
свой: свой
святочный: святочная
седа: седы
сие: се
ск: ск
скавал: скавала
скаван: скавана
скага: скага
скай: ская
скарб: скарбу
склад: склад, склада, складу
складать: складала
складзе: складзе
скончылася: скончылася
скрадзен: скрадзена, скрадзены
скурак: скурак
слабый: слабая
слава: слава
следство: следства
следчый: следчых, следчыя
слово: слова
служба: службе, службы
служыть: служыла
сляд: слядам, слядах
смерть: смерть
смотреть: см
снавал: снавала
снежень: снежня
современник: современников
сон: сон
сорокин: сорокин
состав: состав
