абылд: абылда
абылда: абылдау
абылдау: абылдауы
аев: аев
ажетт: ажетт
ажым: ажым
аз: аз
аза: аза
азия: азия
азияд: азияда
ай: ай
айм: айма
айналд: айналды
айналдырад: айналдырады
айналдырд: айналдырды
айт: айта, айту
айтатын: айтатын
айтуд: айтуды
ал: ал
ала: ала, алай
алад: алады
алар: алары
алд: алды
алмат: алматы
алыптастыр: алыптастыру
алыптастырд: алыптастырды
алыптастыруд: алыптастыруда
алыс: алыс
амдаст: амдасты
амтамасыз: амтамасыз
ан: ан
ана: ана
анд: анды
ар: ар
арад: арады
арал: аралы
арапай: арапайым
арастырад: арастырады
арастырып: арастырып
арасын: арасын
арасынд: арасында
аренад: аренада
арж: аржы
аржыл: аржылы
арс: арсы
ару: ару
арым: арым
аспект: аспект
астан: астана
астыруд: астыруда
асып: асып
ат: ат
атап: атап
атар: атар
атерлер: атерлер
атерлерд: атерлерд
атт: атты
атынастар: атынастар
атынастард: атынастарда, атынастарды
атынастарын: атынастарын
атынасын: атынасын
атыс: атыс, атыса, атысу
атысад: атысады
атысу: атысуы
атысуд: атысуды
атысушыс: атысушысы
атысуын: атысуын, атысуына
ау: ау
аударад: аударады
аудард: аударды
аударылад: аударылады
аш: аш
аясынд: аясында
ба: ба
байланыст: байланысты
байланыстард: байланыстарды
бас: бас
бастам: бастама
бастамалар: бастамалар, бастамалары
бастамалард: бастамаларды
бастамаларын: бастамаларыны
бастамас: бастамасы
басымд: басымды
бейб: бейб
бек: бек
белсенд: белсенд
бер: бер
берд: берд
беред: беред
бойынш: бойынша
бол: бола
болад: болады
болд: болды
болып: болып
быр: быр
газ: газ
газд: газды
геосаяс: геосаяси
геосаясат: геосаясат
герг: герге
да: да
дам: даму
дамыт: дамыта, дамыту
дамытуд: дамытуда
дамытып: дамытып
дан: дан
дарлан: дарлан
дарыс: дарыс
дарыстарымен: дарыстарымен
датп: датпа
даулар: даулар
дделер: дделер
дделерг: дделерге
де: де
дебиеттер: дебиеттер
деген: деген
дей: дей
ден: ден
диалог: диалог
диалогтар: диалогтар
динамик: динамика
