автор: автор
аграрн: аграрная
административн: административных
административны: административные
акт: актов, акты
активност: активности
александровн: александровна
алексушин: алексушин
алёхин: алёхина
анализ: анализ, анализу
анализируется: анализируется
анастасия: анастасия
аннотация: аннотация
археологиче: археологическое
ассистент: ассистенты
банкир: банкиры
безопасност: безопасности
беспрецедентн: беспрецедентным
блок: блок
боле: более
болот: болота
будет: будет
был: были, было
важн: важно
век: века
вершител: вершители
взрывоопасну: взрывоопасную
виктор: виктором
включ: включая
владельц: владельцы
владимирович: владимирович
власт: власти
влияни: влияние
военны: военные
волн: волны
волнени: волнений
вооружён: вооружённого
вопрос: вопросу
вплот: вплоть
время: время
всемир: всемирного
всех: всех
выпуск: выпуск
высоким: высоким
высокопоставленн: высокопоставленных
высоку: высокую
высши: высшие
гарф: гарф
гвинея: гвинея
гг: гг
гейфман: гейфман
генерал: генералы
гибел: гибели
глав: главы
глеб: глеб
глубок: глубокому
глубоки: глубокий
год: год, года, годов, году, годы
государственн: государственный, государственных
государственны: государственные
гражданин: гражданин
гражданск: гражданского
граждански: гражданские
грот: грот
групп: групп
губерн: губернских
губернатор: губернаторов, губернаторы
давайт: давайте
даж: даже
дальнейше: дальнейшее
данн: данная, данным, данных
демонстрирует: демонстрирует
детальн: детальному
деятел: деятелей
длительност: длительность
до: до
доктор: доктор
должност: должности
должностн: должностных
доцент: доцент
друг: других
духовенств: духовенства
его: его
ежедневн: ежедневно
ещё: ещё
жандарм: жандармы
жандармери: жандармерии
жертв: жертв, жертвами, жертвы
жизн: жизни
журнал: журнал
загорульк: загорулько
заместител: заместители
затяжн: затяжной
землевладельц: землевладельцы
значительн: значительное, значительный
зрения: зрения
изучени: изучению
импери: империи
империя: империя
инженер: инженеров
институт: института
интеллигенци: интеллигенции
интенсивн: интенсивный
интенсивност: интенсивность
исследовани: исследование
истори: истории
историк: историков
историче: исторических
источник: источников
их: их
казн: казнь
картин: картины
катализатор: катализаторами
кафедр: кафедра
ключевы: ключевые
количеств: количество
количественн: количественному
количественну: количественную
командир: командиры
коммерсант: коммерсанты
консерватор: консерватор
контекст: контексте
конц: концу
котор: которая
которы: которые
кризис: кризис
кром: кроме
круг: круг
крупны: крупные
кто: кто
кук: кук
литератур: литературы
лиц: лиц
лл: лл
май: май
март: март
массов: массовых
масштаб: масштаб, масштабов, масштабы
мая: мая
медицин: медицинских
менеджер: менеджеры
мест: местного
местн: местных
местны: местные
министр: министры
младши: младшие
многи: многие
могл: могли
наблюдался: наблюдался
надзирател: надзиратели
надзорны: надзорные
наиболе: наиболее
накоплени: накоплением
населения: населения
насилия: насилия
наследи: наследие
наследия: наследия
наук: наук
научн: научный
начал: начале
незарегистрированн: незарегистрированными
некоторы: некоторые
неполнот: неполноту
нерешенн: нерешенная
нижни: нижние
нов: новая, новое
об: об
обнинским: обнинским
обстановк: обстановку
обще: общее
объект: объектов
объем: объема
обывател: обывателей
однак: однако
оказывался: оказывался
окол: около
октября: октября
орган: органов, органы
ос: ос
особенн: особенно
оставался: оставался
оставил: оставили
остается: остается
остаться: остаться
от: от
отд: отд
отметит: отметить
отмечен: отмечены
отношени: отношении
отражает: отражает
офицер: офицеры
официальн: официальной
охвативш: охватившей
охватывающ: охватывающих
оценивается: оценивается
оценк: оценкам, оценку
памятник: памятника
папу: папуа
патрульны: патрульные
период: период, периода
пик: пиком
погибал: погибало
погибл: погибли
погибш: погибших
подчеркивает: подчеркивает
показывает: показывает
пол: поле
полгод: полгода
политиче: политический, политических
политическ: политического, политическому
полицей: полицейских
полицейски: полицейские
полици: полиции
полн: полной
положения: положения
порядк: порядка
посвящен: посвящена, посвящено
последствия: последствия
последующи: последующие
пострадавш: пострадавших
потер: потери, потерь
потеряв: потеряв
почт: почти
правоохранительн: правоохранительных
превысил: превысило
предоставляя: предоставляя
предпринимател: предпринимателей
представител: представителей, представители
представителя: представителя
представляет: представляет
предшествующи: предшествующие
приблизительн: приблизительно
привел: привел
приводятся: приводятся
призывает: призывает
пример: примере
пристав: приставы
пришёлся: пришёлся
проблем: проблема
происходил: происходила
против: против
противоречи: противоречий
професси: профессии
пср: пср
работ: работа
работник: работников
рабоч: рабочих
различн: различных
районны: районные
ранен: ранены, раненых
ранени: ранению
распад: распад
рассматриваем: рассматриваемый
рассмотрим: рассмотрим
революци: революции
революцион: революционного
революционер: революционеров
революционн: революционный, революционных
революционны: революционные
революция: революция
результат: результате
реформатор: реформатор
рисунок: рисунок
росси: россии, россию
россий: российская
российск: российской
рост: рост
руководител: руководитель
русск: русской
рф: рф
рядов: рядовых
самар: самара, самарский
самоуправления: самоуправления
сво: своего, свои
середин: середины
сил: силу
ситуация: ситуация
след: след
слов: слова
сложн: сложная
служащ: служащих
служащи: служащие
служб: службы
смертн: смертная
снизилас: снизилась
событи: событий
события: события
совершен: совершено
совет: советов
согласн: согласно
создал: создали
составил: составило
составлял: составляло
сотрудник: сотрудники
социальн: социальных
спад: спада
специальн: специальный
список: список
сравнени: сравнению
сред: среди
средн: среднем
среднесуточн: среднесуточное
стал: стали
становилис: становились
старши: старшие
статистик: статистика, статистики, статистику
статистиче: статистических
стать: статье
столыпин: столыпина
страж: стражи
страниц: страница
структур: структур, структуры
студент: студент
судебны: судебные
таганц: таганцев
теракт: теракты
террор: террор, террора
терроризм: терроризм, терроризма, терроризму
террористиче: террористических
террористическ: террористической
террористически: террористические
тог: того
тольк: только
торговц: торговцев
три: три
тысяч: тысяч
убийств: убийств, убийство
увеличилас: увеличилась
узнат: узнать
университет: университет
уносил: уносили
управлени: управлений
управляющи: управляющие
уровен: уровень
уровн: уровнем
ускорил: ускорили
условиях: условиях
учест: учесть
учитыв: учитывая
фабрик: фабрик
фактор: факторы
февраля: февраля
фспп: фсппо
характеризуяс: характеризуясь
хотя: хотя
царск: царской
церковнослужител: церковнослужители
цифр: цифра, цифры
человек: человек, человека
чин: чины
чиновник: чиновника, чиновники, чиновников
числ: число
член: члены
что: что
широки: широкий
экономиче: экономический
экономическ: экономического
элит: элиты
эта: эта
эти: эти
этих: этих
это: это, этой
этог: этого
юнеск: юнеско
января: января
