александровн: александровна
алия: алия
амбици: амбиций
американ: американских
анжелик: анжелика
ассистент: ассистент
аугер: аугера
близки: близкие
блэкхерст: блэкхерста
богат: богатым
брак: браке
будет: будет
будущ: будущего, будущем
быт: быта, быть
важн: важно, важное
важну: важную
вам: вам
вас: вас
ваш: ваш, ваша, вашей
веракс: веракса
взаимн: взаимной
взаимоотношени: взаимоотношений
видени: видение
включает: включает
включают: включают
влияни: влияние
влияющи: влияющие
внутр: внутри
возможност: возможность
возникающи: возникающие
возраст: возраста
время: время
все: все
всегд: всегда
вуз: вузов
вы: вы
выбор: выбор, выбора, выборе, выбором
выделен: выделены
главн: главный
говорят: говорят
горазд: гораздо
государствен: государственного
государственн: государственный
готов: готова
гуревич: гуревич
давлени: давление
данн: данная
действительн: действительно
делиться: делиться
дет: детей, дети, детская
деятельност: деятельности
доп: доп
достич: достичь
дошколь: дошкольного
духовн: духовно
душаев: душаева
его: его
ельжановн: ельжановна
ему: ему
есбусинов: есбусинова
желани: желаний
желания: желания
желаниях: желаниях
жизненн: жизненным
зависит: зависит
заключается: заключается
здоровья: здоровья
здравоохранения: здравоохранения
знакомств: знакомство
знан: знаниями
значени: значение
значиму: значимую
игр: играм
играет: играет
из: из
известн: известными
изд: изд
издательств: издательство
имеет: имеет
имел: имел
именн: именно
индивидуальны: индивидуальные
интерес: интерес, интересами, интересов, интересы
интересах: интересах
исследовани: исследование
их: их
как: как
карьер: карьерного, карьеры
кафедр: кафедра, кафедры
ключевы: ключевые
когд: когда
конструктивны: конструктивные
котор: которая, которой, которых
которы: которые
курс: курса
легч: легче
лет: лет
лечебн: лечебный
литератур: литературы
лучш: лучше
макаров: макарова
медицин: медицинский
медицинск: медицинского
межд: между
мест: место
мир: мир, мире
мнени: мнение, мнением, мнений
мног: многих, многом
множеств: множеством
могут: могут
может: может
молодёжн: молодёжной
моральн: моральной
москв: москва
навязывал: навязывала
навязывани: навязывание
найт: найти
например: например
настоящи: настоящие
наук: наук
научн: научный
начал: началом
начин: начиная
негативн: негативное
недовольств: недовольству
ней: ней
нескольким: нескольким
несоответстви: несоответствие
них: них
обладат: обладать
образования: образования
образовательн: образовательных
обсуждают: обсуждают
общ: общая
обществен: общественного
общественн: общественных
общность: общностью
одн: одной
однак: однако
одобрени: одобрение
одобряют: одобряют
ожидани: ожиданий
ознакомит: ознакомить
оказывал: оказывала
окружающи: окружающий
он: он
они: они
определит: определить
определиться: определиться
опыт: опыт, опыта, опытом
оренбург: оренбург, оренбургский
оренбургск: оренбургского
ориентаци: ориентации
основанн: основанное
особенност: особенности
от: от
отвергнут: отвергнуть
ответственность: ответственностью
отличн: отличным
отрицательн: отрицательным
отсутстви: отсутствие
очен: очень
ощущени: ощущение
педагог: педагогов
перв: первых
перераб: перераб
план: планами
поддержат: поддержать
поддержит: поддержит
поддержк: поддержка, поддержки, поддержку
подростк: подростку
подтверждает: подтверждает
подход: подход
полезны: полезные
политик: политики
положительн: положительное, положительным
помим: помимо
помогат: помогать
поможет: поможет
помоч: помочь
помощ: помощь
понимани: понимание
понимания: понимания
понимат: понимать
попробоват: попробовать
пособи: пособие
поставленн: поставленных
потенциал: потенциал
поэт: поэтому
предоставит: предоставить
престижн: престижной
привест: привести
приносит: приносит
причин: причинам
проблем: проблемы
происходит: происходит
професс: профессиями
професси: профессии, профессий
профессионал: профессионалами
профессиональ: профессионального
профессиональн: профессиональной, профессиональными
профессия: профессия
процесс: процесс
проявиться: проявиться
проявляют: проявляют
психолог: психологов
психология: психология
пут: пути
работ: работе, работы
работат: работать
радост: радость
развиваться: развиваться
развит: развить
различн: различными, различных
различны: различные
разногласи: разногласие
разнообразн: разнообразных
ранн: раннего
рассказыват: рассказывать
рассматривает: рассматривает
реализоват: реализовать
ребенк: ребенка, ребенку
рекомендаци: рекомендации
родител: родителей, родители
родственник: родственники
рол: роль
руководител: руководитель
рф: рф
рынк: рынке
самы: самые
сво: свое, своей, свои, своих, свой
связ: связи
связанн: связанным, связанных
сделат: сделать
себя: себя
семейн: семейной
семь: семьи
семья: семья
серьезн: серьезной
слов: слова
со: со
собираетес: собираетесь
собственн: собственных
совет: советы
согласиться: согласиться
создает: создает
сомнениям: сомнениям
сообществ: сообщество
список: список
способностях: способностях
сред: среде
старш: старшей
статья: статья
степен: степени
сторон: стороны
страх: страхам
студент: студент
супруг: супругов
сфер: сфере
сферах: сферах
так: такой
талант: таланты
тольк: только
том: том
труд: труда
ты: ты
уал: уаль
удовлетворени: удовлетворение
университет: университет, университета
усыновлённ: усыновлённых
учебн: учебное
учебник: учебник
учен: ученых
учитывал: учитывала
учреждени: учреждений
факультет: факультет
формировани: формировании
холост: холостых
хочеш: хочешь
цел: целей
ценны: ценные
человек: человека
что: что
чувствует: чувствуете
школ: школе
этапах: этапах
это: это
этот: этот
юрайт: юрайт
является: является
