xviiвв: xviiвв
август: августа
алексеев: алексеева
арми: армии
архив: архив
ассоциаци: ассоциации
атаман: атаман
бед: беда
безвод: безводного
бердигестях: бердигестях
берег: берегам
бережн: бережно
биографи: биографию
блеклы: блеклые
близким: близким
блуждают: блуждают
больш: большая
большу: большую
боятц: боятца
боях: боях
брал: брали
будущ: будущих
был: был, было
василия: василия
василь: васильев
вблиз: вблизи
век: века
веках: веках
велики: великие
великим: великими
верн: верный, верными
вернувшис: вернувшись
вес: весь
ветр: ветром
взял: взяли
взяти: взятии
вид: виды
вклад: вклад
владеют: владеют
владимировн: владимировна
внешн: внешне
внимательн: внимательным
внук: внукам, внуки
внутренн: внутренне
вов: вов
войн: войне, войну
воспитания: воспитания
восстановлени: восстановлении
впервы: впервые
впоследстви: впоследствии
время: время
все: все, всей
всегд: всегда
всем: всем
всепрощени: всепрощении
всех: всех
вступил: вступил
втор: вторым
выбир: выбирая
вывозил: вывозил
выделял: выделял
выезд: выезды
выезж: выезжая
вынужденн: вынужденно
выявит: выявить
выяснил: выяснили
галкин: галкин
генеалог: генеалогов
генеалоги: генеалогии
генеалогия: генеалогия
германи: германии
гипотез: гипотеза
глав: главе
главн: главная
го: го
год: года, году
гор: горного
гордость: гордостью
горн: горный
город: города
групп: группы
давал: давали
дала: далай
далек: далеких
дальш: дальше
дария: дария
дархан: дархана
даурия: даурия
два: два
дед: дед
дедушк: дедушке
дерев: дерево
дет: детей, дети
детям: детям
до: до
добр: добрым
добродушн: добродушным
документ: документам
долг: долгу
должн: должны
долин: долины
доминирующу: доминирующую
доносил: доносил
доступ: доступа
дьяконов: дьяконова
его: его
ее: ее
ерт: ерт
ест: есть
жив: живым
жизн: жизни, жизнь
жизнь: жизнью
жирков: жиркова
журналист: журналистов
забайкальск: забайкальского
забот: забот
забыват: забывать
завершил: завершили
завидовал: завидовал
задач: задачи
задолг: задолго
закладываются: закладываются
закономерност: закономерности
закрепляяс: закрепляясь
заняти: занятием
западн: западно
земл: землю
землё: землёю
зимню: зимнюю
злословил: злословил
знал: знал, знали
знат: знать
из: из
издательств: издательство
изуч: изучая
изуча: изучаем
изучени: изучение
изучил: изучили
изучит: изучить
ильин: ильину
ильич: ильича
им: им
имел: имел
именн: именно
империалистическ: империалистической
интервь: интервью
ины: иные
исследования: исследования
истор: историей
их: их
июн: июнь
июня: июня
кажд: каждое
казак: казаков
как: как
кангаласс: кангалассов
кангаласски: кангаласские
кангаласц: кангаласцев
кириллин: кириллина
класс: класса
климат: климате
ключевы: ключевые
км: км
князц: князцы
коллектив: коллектив
комитет: комитета
комсомольск: комсомольского
конц: конце
кор: корней
корсак: корсаков
котор: котором, которым, которых
которы: которые
края: края
кто: кто
куд: куда
ласков: ласковым
лен: лены
лет: лет, лето, летом
лини: линии
листья: листья
литератур: литературы
лукин: лукиной
любв: любви
любил: любил
любим: любимым
любител: любителей
люд: людей, люди
людмил: людмила
людн: людны
людях: людях
мал: малых
мамин: маминой
марин: марина
материал: материал
мбу: мбу
мемориал: мемориал
местност: местности
мир: мире
мне: мне
мног: много
многи: многие
многим: многими
могл: могло
моег: моего
можн: можно
мои: мои
моим: моим
мой: мой
мр: мр
му: му
мы: мы
мысл: мыслей
мыслител: мыслителями
называт: называть
написан: написано
народ: народа
нарый: нарыйа
нас: нас
наслег: наслега
наследствен: наследственного
научн: научный
начал: начал, начале
наш: нашего, нашей
невредим: невредимым
нег: него
ни: ни
нигд: нигде
низким: низким
ник: никому
никогд: никогда
ним: ним
нов: новой
новизн: новизна
нор: нор
носимы: носимые
ноября: ноября
област: области
общался: общался
обществ: общества
обязан: обязаны
односельчан: односельчан
озер: озера
окол: около
олекм: олекму
он: он
она: она
онкучах: онкучах
онучин: онучин
организованн: организованным
организовывал: организовывал
осед: оседая
осен: осень
основ: основы
особ: особо
