абстракция: абстракция
айлее: айлееев
академи: академии
академия: академия
активн: активно
алексеев: алексеевская
алексеевич: алексеевич
амбулаторн: амбулаторном
анализ: анализа
анатольевн: анатольевна
антон: антон
аптечн: аптечному
арми: армии
армия: армия
археологическим: археологическим
архип: архипов
батыя: батыя
безусловн: безусловно
белозер: белозерский
бескрайним: бескрайним
боле: более
болезн: болезни
болел: болели
больн: больными
больниц: больница
больничн: больничными
больш: большого, большое, большом
боролас: боролась
будет: будет
будут: будут
бум: бума
был: был, была, были, было
быт: быть
важн: важной, важным, важных
важну: важную
вассал: вассалы
ведьм: ведьм
век: века, веков
веках: веках
велик: великой
вест: вести
вестник: вестник
веществ: веществами
взаимодействует: взаимодействует
власт: власти, власть
влияни: влияние, влиянием
внедрен: внедрены
внимани: внимание
вод: водой
военн: военной
военнослужащ: военнослужащих
возникл: возникла
воинственн: воинственных
вокруг: вокруг
вопрос: вопрос, вопросам
впитывал: впитывала
вполн: вполне
врач: врачей
времен: времен, времена, времени
время: время
все: все
всевозможн: всевозможным
всег: всего
всегд: всегда
всех: всех
выбран: выбранного
выбранн: выбранной
вывод: вывод, выводам
выдающийся: выдающийся
выпускающе: выпускающее
выход: выхода
выш: выше
гален: галена
галин: галинов
где: где
генерал: генерал
гиппократ: гиппократа
главн: главной
глазах: глазах
говорит: говорить
говоря: говоря
год: год, годам, годом, году, годы
гонялис: гонялись
госпитал: госпитали
государств: государства, государство, государством
граничат: граничат
грече: греческих
губернатор: губернатора
даж: даже
дан: дань
дат: дату, дать
демонстрирующ: демонстрирующей
дискусси: дискуссии
дискуссиях: дискуссиях
дисциплин: дисциплин
длительн: длительный
довольн: довольно
документ: документом
документах: документах
долг: долгой
должен: должен
достаточн: достаточно
доступны: доступные
древн: древних
древнерусск: древнерусского
други: другие
духовн: духовная
духовны: духовные
его: его
ее: ее
елен: елена
ему: ему
ест: есть
естественн: естественно
живот: животного
жизн: жизни, жизнь
заболеваниям: заболеваниям
заведени: заведение
зависел: зависела
зависимост: зависимости
завоевания: завоевания
завоевател: завоевателей
задат: задать
зародилас: зародилась
захватчик: захватчиков
захотел: захотела
защит: защитой
земл: землей
землях: землях
знал: знали
знания: знания
знахар: знахари
золот: золотой
иван: иван
иго: иго
из: из
известн: известно, известное
изд: изд
изменившихся: изменившихся
изменилас: изменилась
изменялас: изменялась
изучается: изучается
изучаются: изучаются
изучения: изучения
имеет: имеет
имел: имела
имеют: имеют
имеющихся: имеющихся
импери: империи
империя: империя
индийским: индийскими
интересах: интересах
интересн: интересный
иным: иными
искусств: искусство
использования: использования
используемы: используемые
исследовани: исследований
истори: истории, историю
историографи: историографии
историче: историческое
историческ: исторической
исторически: исторические
историческу: историческую
история: история
источник: источникам, источников
исчезл: исчезли
итак: итак
итог: итог
их: их
казан: казань
как: как, какое, какой, каком
капищ: капищ
картин: картину
картографическим: картографическим
катыр: катыр
кель: кельи
кем: кем
киев: киево
кирилл: кирилло
кит: китая
ключевы: ключевые
княжеств: княжеств, княжества
князья: князья
когд: когда
колдун: колдунов
комментар: комментариями
комментари: комментарий
конгломерат: конгломерат
конечн: конечно
конкретн: конкретный
корень: кореньев
коренья: коренья
котор: которая, который, которыми
которы: которые
кочевник: кочевников
кратк: краткая, краткое
кром: кроме
крупн: крупное
культур: культура, культуре
культурн: культурная
лавр: лавра
лауреат: лауреат
лекар: лекари
лекарств: лекарства, лекарством
лекарственн: лекарственными
лечени: лечение, лечении
лечения: лечения
лечит: лечить
литератур: литературы
литературн: литературных
лиш: лишь
люб: любая
люд: людей, люди
маз: мазями
мамонт: мамонтом
массовы: массовые
масштаб: масштаба
масштабн: масштабным, масштабных
материал: материалов
медицин: медицина, медицинское, медицины
медицинск: медицинского, медицинской
медицински: медицинские
межд: между
меньш: меньше
мер: мере
метод: методов, методы
