активн: активно
александр: александр
алия: алия
артек: артек
ассистент: ассистент
безработиц: безработицей
беременност: беременности
беременны: беременные
беспризорн: беспризорных
беспризорны: беспризорные
билет: билетов
благодаря: благодаря
благотворительн: благотворительных
благотворительност: благотворительности
болезн: болезни
больничны: больничные
больш: большая
бороться: бороться
брянск: брянского
был: был, были, было
быт: быть
введен: введены
вводил: вводило
велик: великой
вестник: вестник
взимался: взимался
взросл: взрослый
взял: взяло
владос: владос
власт: власти
внимани: внимание
возглавлявш: возглавлявшего
войн: войны
вопрос: вопросу
воспитани: воспитание
восстановлен: восстановлены
время: время
все: все, всей
всем: всеми
всех: всех
вскор: вскоре
встал: встало
всё: всё
входивш: входившая
вцик: вцик
выдаваться: выдаваться
высш: высш
год: года, годы
голод: голода
государств: государства, государство, государству
государствен: государственного
государственн: государственный
граждан: граждане
гражданск: гражданской
грудь: грудью
гуманит: гуманит
дат: дата
декабря: декабря
декрет: декрет, декрету
дел: делам
дет: детей, дети, детское
детск: детской
детски: детские
детств: детства
детьм: детьми
детях: детях
до: до
дом: дома
доступ: доступа
доступност: доступность
друг: другое
еду: еду
ельжановн: ельжановна
есбусинов: есбусинова
желани: желанию
женщин: женщины
забот: забота, заботу
заведени: заведений
запрещается: запрещается
запрещен: запрещены
зарплат: зарплату
защит: защиту
заявлени: заявление
здоровья: здоровья
здравоохранения: здравоохранения
идеолог: идеологией
из: из
изд: изд
издал: издал
издан: издан
изменилос: изменилось
ил: ил
имеющи: имеющие
история: история
июня: июня
капиталистиче: капиталистических
карт: карт
касс: кассы
кафедр: кафедры
клиник: клиники
ключевы: ключевые
коллегия: коллегия
командировк: командировки, командировку
комиссариат: комиссариат, комиссариата
комиссиях: комиссиях
коммунистическ: коммунистической
концерт: концерты
кормящи: кормящие
котор: которому
кром: кроме
кухн: кухни
лагер: лагерь
лет: лет
летни: летний
лечебн: лечебный
литератур: литературы
лучш: лучшему
матер: матерей, матери
материнств: материнства
медицин: медицинский
медицинску: медицинскую
мене: менее
мероприятиях: мероприятиях
мест: мест
мещеряк: мещеряков
младенчеств: младенчества
могл: могли
могут: могут
молодежь: молодежью
молочны: молочные
наибольше: наибольшее
найм: найме
налог: налог, налоги
написат: написать
например: например
наравн: наравне
народн: народный
населения: населения
научн: научный
начал: начала, начали, началу
началос: началось
начинают: начинают
несовершеннолетн: несовершеннолетних
несовершеннолетним: несовершеннолетним
них: них
нов: новой
новиков: новикова
новорождённ: новорождённых
новы: новые
ночну: ночную
ноября: ноября
об: об
обеспечени: обеспечение
обеспечения: обеспечения
обеспечивающ: обеспечивающих
образовывавшихся: образовывавшихся
обращен: обращено
обращения: обращения
обществ: обществ, обществу
обществен: общественного
объединени: объединение
обычну: обычную
обязанност: обязанность
обязывалос: обязывалось
одежд: одежду
оно: оно
опасн: опасных
опекун: опекунами
оплачиваемы: оплачиваемые
оренбург: оренбург, оренбургский
осуществлял: осуществляло
от: от
отводилос: отводилось
отдел: отделом
отечественн: отечественной
отказ: отказ
открыт: открыт
отличи: отличие
отношени: отношение, отношении
отправленн: отправленными
отправляться: отправляться
отпуск: отпуска
охран: охрана, охраны
пайк: пайки
паёк: паёк
первы: первые
перераспределялис: перераспределялись
переселял: переселяли
период: период
питани: питание
плодородны: плодородные
под: под
подростк: подростками
позж: позже
полиграфкниг: полиграфкнига
политик: политика, политики
полность: полностью
получал: получали
получат: получать
получения: получения
помощ: помощь
пособи: пособие
постановлен: постановлено
постановлени: постановление
построен: построены
прав: прав, право
при: при
привлекаться: привлекаться
призрения: призрения
принадлежавш: принадлежавшего
причин: причине
приют: приютов
проводилас: проводилась
программ: программ, программы
продаж: продажи
производств: производства
произошёл: произошёл
происходил: происходило
работ: работам, работе, работы
работат: работать
развити: развитию
район: районы
реализаци: реализации
ребёнк: ребёнка, ребёнком
режим: режим
реконструироват: реконструировать
реорганизованн: реорганизованных
репресси: репрессии
республик: республики
ресурс: ресурс
решени: решению
род: родам
родильны: родильные
рожениц: рожениц, роженицы
росси: россии
рсфср: рсфср
руководител: руководитель
руководств: руководством, руководству
рф: рф
сажин: сажина
сверхурочн: сверхурочно, сверхурочным
себя: себя
семашк: семашко
сергеевич: сергеевич
складск: складской
слов: слова
случа: случай
смен: смену
смертност: смертности, смертность
снижат: снижать
снижения: снижения
снизил: снизило
снк: снк
со: со
собствен: собственного
собственн: собственно, собственному
совет: советская
советск: советской
согласия: согласия
создан: создан, созданы
солдат: солдат
соответстви: соответствии
состав: состав
социаль: социального
социальн: социальная, социальное, социальной, социальному, социальных
социальны: социальные
список: список
способствовал: способствовало
средств: средств, средства
став: став
стал: стали
становления: становления
стран: стран, стране
страховани: страхование, страховании
строит: строить
студ: студ
студент: студент
сфер: сферы
счёт: счёт
там: там
тем: тем
ти: ти
тип: тип
тог: того
тольк: только
том: тому
трест: треста
трудову: трудовую
увеличен: увеличены
увольнят: увольнять
удочерени: удочерении
университет: университет, университета
усыновлени: усыновлении
учеб: учеб
учёт: учёт
факультет: факультет
феврал: феврале
физическ: физическому
финансировани: финансирование
финансов: финансовых
финансовы: финансовые
фирс: фирсов
функци: функции
ходил: ходили
цель: целью
центр: центре
церковн: церковной
через: через
что: что
школ: школу
эвакуация: эвакуация
экономическ: экономической
электронн: электронный
энциклопедия: энциклопедия
это: это
юрид: юрид
являются: являются
января: января
ясл: ясли
