авли: авлиев
автономи: автономии
автономн: автономное
административн: административном
академия: академия
анатольевн: анатольевна
архивах: архивах
ахмедов: ахмедова
балкарц: балкарцы
без: без
бердин: бердинских
благодарн: благодарный
ближайшим: ближайшим
был: был, была, были, было
быт: быть
введен: введен
ведомственн: ведомственных
велик: великой
верхн: верхнем
вес: весь
вид: видов, виды
виктор: виктор
виновн: виновных
включал: включала
включают: включают
власт: власти
возраст: возрастов
войн: войны
волн: волн
вопрос: вопросам, вопросов
восточн: восточным
восточны: восточные
враждебны: враждебные
время: время
все: всей
всег: всего
всем: всем
всеобщ: всеобщему
всероссийск: всероссийской
всех: всех
вся: вся
втор: вторых
выдворени: выдворение
выполнял: выполняли
выработанн: выработанных
выселен: выселены
выселенц: выселенцы
выслан: высланы
высш: высшего, высших
гг: гг
где: где
географически: географические
главн: главным
говорят: говорят
год: год, года, годов, году, годы
годах: годах
государств: государств, государства
государственн: государственное, государственной, государственным, государственных
государственност: государственности
граждан: граждан
грозн: грозный
групп: групп, группа, группы
гулаг: гулаг
давлени: давление
данн: данным
декабря: декабря
депортац: депортацией
депортаци: депортации, депортацию
депортация: депортация
депортировал: депортировали
депортированн: депортированных
деятельност: деятельности
дне: дней
дня: дня
до: до
доклад: доклады
документ: документы
доступны: доступные
друг: другой
евлоев: евлоева
его: его
един: единой
ее: ее
елен: елена
ест: есть
естественн: естественно
жительств: жительства
заканчивалис: заканчивались
зат: затем
затрагивал: затрагивали
зачасту: зачастую
заявленн: заявленными
значительн: значительном
иванович: иванович
из: из
известн: известная
изгнани: изгнание
измен: измены
изменен: изменен
изменени: изменение
изначальн: изначально
изучени: изучение
ингерманландц: ингерманландцы
ингуш: ингуши
ингушск: ингушской
иногд: иногда
инструмент: инструментом
использоват: использовать
историк: историко
исторически: исторические
история: история
их: их
казак: казаков
как: как
калмыки: калмыкии
калмыцк: калмыцкого
карательн: карательными
карачаевц: карачаевцы
классов: классовым
ключевы: ключевые
когд: когда
количеств: количества
колхозник: колхозники
конституци: конституции
контингент: контингент
конференци: конференции
конц: конце
концепци: концепции
которы: которые
крах: краху
кром: кроме
крымски: крымские
кто: кто
кулацку: кулацкую
культурн: культурный
лет: лет
лети: летию
ликвидац: ликвидацией
ликвидаци: ликвидации
литератур: литературы
лиц: лиц
лозунг: лозунга
люд: людей
мал: малой
массов: массовая
массову: массовую
массовы: массовые
материал: материалы
мая: мая
мгбссср: мгбссср
межд: между
международн: международной
мер: мера
мест: места, место
миграци: миграции
миллионовчеловек: миллионовчеловек
минимальну: минимальную
мног: многих
многочисленн: многочисленны
могл: могла
москв: москва
москов: московский
му: му
назват: назвать
называл: называли
наказанн: наказанных
нам: нам
напряженност: напряженности
народ: народа, народов, народы
народност: народностей
нарушал: нарушали
населения: населения
научн: научно, научный
научны: научные
наха: нахаев
находившихся: находившихся
находилис: находились
наци: нации, наций
национальн: национальная, национально, национальной, национальному, национальных
национальност: национальностей, национальности
начал: начала, начале
начинают: начинают
небольш: небольших
незаконн: незаконными
ней: ней
некотор: некоторыми
немц: немцы
нескольк: несколько
никитин: никитина
нквд: нквд
нов: новых
новы: новые
норм: норму
обитания: обитания
образ: образом
образования: образования
образовательн: образовательное
общ: общей
обще: общее
общи: общий
обычн: обычно, обычной
обязательну: обязательную
огп: огпу
один: один
одн: одной
одним: одним
одновременн: одновременной
ожидаем: ожидаемым
окол: около
окружени: окружением
она: она
они: они
опасн: опасными
определенн: определенная, определенной, определенных
орган: органами, органов
организован: организована
орёл: орёл
основанны: основанные
особенност: особенностями
осознанну: осознанную
осуществлялис: осуществлялись
от: от
отв: отв
отдалённы: отдалённые
отдельн: отдельных
отечественн: отечественной
отличалас: отличалась
отличи: отличий
отметит: отметить
отношени: отношении
отсутствовал: отсутствовала
оформлен: оформлен
охран: охраны
очевидн: очевидное
очен: очень
парти: партии
перв: первой, первых
переезд: переезду
перемещени: перемещение
переселени: переселение
переселит: переселить
переселяют: переселяют
переходит: переходить
пик: пиком
подвергалас: подвергалась
подверглис: подверглись
политехниче: политехнический
политик: политика, политики, политику
политиче: политическая, политических
политически: политические
полн: полной
полность: полностью
попал: попал
пор: пор, порой
порядк: порядке
посвященн: посвященной
поселени: поселений
последовательн: последовательная, последовательных
последствия: последствия
постановлен: постановлениями
постепенн: постепенно
построени: построение
почт: почти
поэзи: поэзии
прав: права
правил: правило
правительств: правительства
практик: практика, практикой
практическ: практической
превратилос: превратилось
предложени: предложению
предложил: предложил
предполагающ: предполагающая
прежд: прежде
преступлени: преступление
привел: привело
приграничн: приграничных
признак: признаку
принималос: принималось
принудительн: принудительное, принудительной
принудительны: принудительные
принуждени: принуждение
принцип: принципами
принят: принято
притеснения: притеснения
причин: причинам, причиной, причины
пробл: проблем
проведен: проведена
провинци: провинций
проводилас: проводилась
проводилис: проводились
провозглашени: провозглашение
продолжалис: продолжались
проживания: проживания
произошл: произошло
происходил: происходила
процесс: процесс
проявилис: проявились
равенств: равенства
разбирательств: разбирательства
раздел: раздел
различн: различных
разрядк: разрядки
район: районов, районы
ранн: ранних
рассматривалос: рассматривалось
расстояни: расстоянии
расхождени: расхождений
реальн: реальной
регион: регионы
ред: ред
репресси: репрессии, репрессий
репрессивн: репрессивной
репрессированн: репрессированный, репрессированных
репрессиям: репрессиям
республик: республик
решени: решение, решении
решения: решения
родин: родины
российск: российской
руководител: руководитель, руководителями
рф: рф
сам: самой, самом
самим: самим
самоопределени: самоопределение
сво: своих
себя: себя
сильн: сильно
сих: сих
следует: следует
слов: слова
служб: службы
случа: случаев, случай
слушател: слушатель
со: со
совет: советских
советск: советского, советской, советском
сокращения: сокращения
соответстви: соответствии
сохранен: сохранены
социалистиче: социалистических
социальн: социальным
социальны: социальные
союз: союз, союза, союзе
спецпереселенц: спецпереселенцы
спецпоселенц: спецпоселенцы
